Entity,ADM0_A3,wat_imp_without,GDPperCapita
Fiji,FJI,5.7,4976.2030000000004
Tanzania,TZA,27.99,1130.1410000000001
NA,SAH,NA,NA
Canada,CAN,0.78,43383.713000000003
United States,USA,0.12,63577.341
Kazakhstan,KAZ,2.62,9062.9580000000005
Uzbekistan,UZB,2.17,1776.2670000000001
Papua New Guinea,PNG,52.53,2715.9679999999998
Indonesia,IDN,6.73,3932.3319999999999
NA,ARG,NA,NA
Chile,CHL,0,13067.742
Democratic Republic of Congo,COD,40.61,NA
Somalia,SOM,15.82,465.85199999999998
Kenya,KEN,28.83,2067.3879999999999
Sudan,SDN,12.88,775.88499999999999
Chad,TCD,39.07,654.88199999999995
Haiti,HTI,23.49,1235.4760000000001
Dominican Republic,DOM,2.85,7553.509
Russia,RUS,2.39,NA
NA,BHS,NA,NA
Falkland Islands,FLK,4.69,NA
Norway,NOR,0,68399.085000000006
Greenland,GRL,0,NA
NA,ATF,NA,NA
East Timor,TLS,12.62,NA
South Africa,ZAF,3.34,5661.0129999999999
Lesotho,LSO,17.42,1034.702
Mexico,MEX,0.32,8533.4959999999992
Uruguay,URY,0,15168.311
Brazil,BRA,0.55,6970.7190000000001
Bolivia,BOL,6.47,3172.556
Peru,PER,6.01,6145.0309999999999
Colombia,COL,2.32,5363.0720000000001
Panama,PAN,3.75,12615.878000000001
Costa Rica,CRI,0,12163.927
Nicaragua,NIC,16.78,1937.328
Honduras,HND,3.89,2380.029
El Salvador,SLV,1.85,3903.4140000000002
Guatemala,GTM,4.96,4318.6360000000004
Belize,BLZ,0.35,4935.5600000000004
Venezuela,VEN,5.84,1566.623
Guyana,GUY,3.24,6952.7020000000002
Suriname,SUR,0.94,4786.8329999999996
France,FRA,0,40385.394999999997
Ecuador,ECU,4.64,5670.3299999999999
Puerto Rico,PRI,0,32608.044999999998
Jamaica,JAM,3.6,5072.5990000000002
Cuba,CUB,1.53,NA
Zimbabwe,ZWE,23.14,1769.5650000000001
Botswana,BWA,3.06,5863.1819999999998
Namibia,NAM,8.64,4224.8739999999998
Senegal,SEN,12.71,1465.2439999999999
Mali,MLI,13.6,831.03399999999999
Mauritania,MRT,14.84,2076.4319999999998
Benin,BEN,25.27,1237.79
Niger,NER,31.43,568.60599999999999
Nigeria,NGA,17.41,2083.1619999999998
Cameroon,CMR,21.4,1539.354
Togo,TGO,25.35,897.81700000000001
Ghana,GHA,7.62,2274.5720000000001
Cote d'Ivoire,CIV,20.16,NA
Guinea,GIN,14.76,1015.064
Guinea-Bissau,GNB,26.95,838.84699999999998
Liberia,LBR,16.04,600.47500000000002
Sierra Leone,SLE,27.21,508.81200000000001
Burkina Faso,BFA,21.51,833.78200000000004
Central African Republic,CAF,37.12,494.52100000000002
Congo,COG,15.75,NA
Gabon,GAB,6.92,7277.3689999999997
NA,GNQ,NA,NA
Zambia,ZMB,28.43,956.83199999999999
Malawi,MWI,8,567.59000000000003
Mozambique,MOZ,26.65,454.06299999999999
Eswatini,SWZ,19.74,3535.0900000000001
Angola,AGO,33.54,1709.2840000000001
Burundi,BDI,18.35,259.90600000000001
Israel,ISR,0,44850.440999999999
Lebanon,LBN,0,3588.7049999999999
Madagascar,MDG,43.9,477.375
NA,PSX,NA,NA
Gambia,GMB,10.46,NA
Tunisia,TUN,0.83,3573.8359999999998
Algeria,DZA,0.58,3321.6010000000001
Jordan,JOR,0.91,4336.3819999999996
United Arab Emirates,ARE,0.03,37648.963000000003
Qatar,QAT,0.43,53797.936999999998
Kuwait,KWT,0,22683.637999999999
Iraq,IRQ,0.75,4219.8739999999998
Oman,OMN,0.29,16640.425999999999
Vanuatu,VUT,7.71,3341.002
Cambodia,KHM,14.88,1643.758
Thailand,THA,0,7170.8490000000002
Laos,LAO,11.21,NA
Myanmar,MMR,14.69,1527.434
Vietnam,VNM,3.12,3548.8919999999998
North Korea,PRK,5.47,NA
South Korea,KOR,0.07,NA
Mongolia,MNG,12.36,3965.0970000000002
India,IND,4.53,1913.22
Bangladesh,BGD,1.15,2270.348
Bhutan,BTN,0.23,3247.9259999999999
Nepal,NPL,5.95,1139.192
Pakistan,PAK,6.03,1376.5119999999999
Afghanistan,AFG,23.46,611.26800000000003
Tajikistan,TJK,15.58,858.44500000000005
Kyrgyzstan,KGZ,6.4,NA
Turkmenistan,TKM,0,8776.5560000000005
Iran,IRN,0.58,2326.6640000000002
Syria,SYR,0.2,no data
Armenia,ARM,0.03,4268.5500000000002
Sweden,SWE,0.17,52706.294000000002
Belarus,BLR,0.09,6515.6540000000005
Ukraine,UKR,0.4,3780.0749999999998
Poland,POL,0.03,15792.610000000001
Austria,AUT,0,48857.082999999999
Hungary,HUN,0,16089.013999999999
Moldova,MDA,7.91,4377.5420000000004
Romania,ROU,0,13021.962
Lithuania,LTU,1.99,20323.206999999999
Latvia,LVA,0.54,18123.654999999999
Estonia,EST,0.41,23576.356
Germany,DEU,0,46735.313999999998
Bulgaria,BGR,0.99,10170.723
Greece,GRC,0,17611.847000000002
Turkey,TUR,0.96,NA
Albania,ALB,3.05,5268.2389999999996
NA,HRV,NA,NA
Switzerland,CHE,0,85872.732000000004
Luxembourg,LUX,0.12,118083.886
Belgium,BEL,0,45545.133999999998
Netherlands,NLD,0,52222.364000000001
Portugal,PRT,0.09,22224.565999999999
Spain,ESP,0.07,26943.767
Ireland,IRL,2.6,85233.623000000007
New Caledonia,NCL,0.69,NA
Solomon Islands,SLB,26.9,2236.4169999999999
New Zealand,NZL,0,41308.743999999999
Australia,AUS,0.03,53071.718000000001
Sri Lanka,LKA,7.18,3893.8420000000001
China,CHN,4.92,NA
NA,TWN,NA,NA
Italy,ITA,0.08,31784.787
Denmark,DNK,0,61005.841
United Kingdom,GBR,0,40347.364000000001
Iceland,ISL,0,59189.968999999997
Azerbaijan,AZE,2.91,4240.8440000000001
Georgia,GEO,2.65,4263.1329999999998
Philippines,PHL,3.03,3325.8359999999998
Malaysia,MYS,2.55,10361.276
Brunei,BRN,0.1,NA
Slovenia,SVN,0.5,25604.689999999999
Finland,FIN,0,49168.161999999997
Slovakia,SVK,0,NA
Czechia,CZE,0.12,NA
NA,ERI,NA,NA
Japan,JPN,0.92,40117.915999999997
Paraguay,PRY,0,4885.3959999999997
Yemen,YEM,10.37,575.45799999999997
Saudi Arabia,SAU,0,20971.147000000001
NA,ATA,NA,NA
NA,CYN,NA,NA
Cyprus,CYP,0.23,28139.894
Morocco,MAR,4.33,3375.2649999999999
Egypt,EGY,0.32,3802.4380000000001
Libya,LBY,0.11,7058.6289999999999
Ethiopia,ETH,23.64,969.01400000000001
Djibouti,DJI,9.19,3219.701
NA,SOL,NA,NA
Uganda,UGA,16.86,910.04499999999996
Rwanda,RWA,17.26,804.18799999999999
Bosnia and Herzegovina,BIH,0.06,5800.3900000000003
North Macedonia,MKD,0.62,5986.5519999999997
Serbia,SRB,0.46,7733.8029999999999
Montenegro,MNE,0.6,7688.549
NA,KOS,NA,NA
Trinidad and Tobago,TTO,0,15047.92
NA,SDS,NA,NA
