Entity,ADM0_A3,wat_imp_without,GDPperCapita,Continent,2020 Population
Fiji,FJI,5.7,4976.2030000000004,Oceania,920422
Tanzania,TZA,27.99,1130.1410000000001,Africa,61704518
NA,SAH,NA,NA,NA,NA
Canada,CAN,0.78,43383.713000000003,North America,37888705
United States,USA,0.12,63577.341,North America,335942003
Kazakhstan,KAZ,2.62,9062.9580000000005,Asia,18979243
Uzbekistan,UZB,2.17,1776.2670000000001,Asia,33526656
Papua New Guinea,PNG,52.53,2715.9679999999998,Oceania,9749640
Indonesia,IDN,6.73,3932.3319999999999,Asia,271857970
NA,ARG,NA,NA,South America,45036032
Chile,CHL,0,13067.742,South America,19300315
Democratic Republic of Congo,COD,40.61,NA,Africa,92853164
Somalia,SOM,15.82,465.85199999999998,Africa,16537016
Kenya,KEN,28.83,2067.3879999999999,Africa,51985780
Sudan,SDN,12.88,775.88499999999999,Africa,44440486
Chad,TCD,39.07,654.88199999999995,Africa,16644701
Haiti,HTI,23.49,1235.4760000000001,North America,11306801
Dominican Republic,DOM,2.85,7553.509,North America,10999664
Russia,RUS,2.39,NA,Europe,145617329
NA,BHS,NA,NA,North America,406471
Falkland Islands,FLK,4.69,NA,South America,3747
Norway,NOR,0,68399.085000000006,Europe,5379839
Greenland,GRL,0,NA,North America,56026
NA,ATF,NA,NA,NA,NA
East Timor,TLS,12.62,NA,Asia,1299995
South Africa,ZAF,3.34,5661.0129999999999,Africa,58801927
Lesotho,LSO,17.42,1034.702,Africa,2254100
Mexico,MEX,0.32,8533.4959999999992,North America,125998302
Uruguay,URY,0,15168.311,South America,3429086
Brazil,BRA,0.55,6970.7190000000001,South America,213196304
Bolivia,BOL,6.47,3172.556,South America,11936162
Peru,PER,6.01,6145.0309999999999,South America,33304756
Colombia,COL,2.32,5363.0720000000001,South America,50930662
Panama,PAN,3.75,12615.878000000001,North America,4294396
Costa Rica,CRI,0,12163.927,North America,5123105
Nicaragua,NIC,16.78,1937.328,North America,6755895
Honduras,HND,3.89,2380.029,North America,10121763
El Salvador,SLV,1.85,3903.4140000000002,North America,6292731
Guatemala,GTM,4.96,4318.6360000000004,North America,17362718
Belize,BLZ,0.35,4935.5600000000004,North America,394921
Venezuela,VEN,5.84,1566.623,South America,28490453
Guyana,GUY,3.24,6952.7020000000002,South America,797202
Suriname,SUR,0.94,4786.8329999999996,South America,607065
France,FRA,0,40385.394999999997,Europe,64480053
Ecuador,ECU,4.64,5670.3299999999999,South America,17588595
Puerto Rico,PRI,0,32608.044999999998,North America,3271564
Jamaica,JAM,3.6,5072.5990000000002,North America,2820436
Cuba,CUB,1.53,NA,North America,11300698
Zimbabwe,ZWE,23.14,1769.5650000000001,Africa,15669666
Botswana,BWA,3.06,5863.1819999999998,Africa,2546402
Namibia,NAM,8.64,4224.8739999999998,Africa,2489098
Senegal,SEN,12.71,1465.2439999999999,Africa,16436119
Mali,MLI,13.6,831.03399999999999,Africa,21224040
Mauritania,MRT,14.84,2076.4319999999998,Africa,4498604
Benin,BEN,25.27,1237.79,Africa,12643123
Niger,NER,31.43,568.60599999999999,Africa,24333639
Nigeria,NGA,17.41,2083.1619999999998,Africa,208327405
Cameroon,CMR,21.4,1539.354,Africa,26491087
Togo,TGO,25.35,897.81700000000001,Africa,8442580
Ghana,GHA,7.62,2274.5720000000001,Africa,32180401
Cote d'Ivoire,CIV,20.16,NA,Africa,26811790
Guinea,GIN,14.76,1015.064,Africa,13205153
Guinea-Bissau,GNB,26.95,838.84699999999998,Africa,2015828
Liberia,LBR,16.04,600.47500000000002,Africa,5087584
Sierra Leone,SLE,27.21,508.81200000000001,Africa,8233969
Burkina Faso,BFA,21.51,833.78200000000004,Africa,21522626
Central African Republic,CAF,37.12,494.52100000000002,Africa,5343020
Congo,COG,15.75,NA,Africa,5702174
Gabon,GAB,6.92,7277.3689999999997,Africa,2292573
NA,GNQ,NA,NA,Africa,1596049
Zambia,ZMB,28.43,956.83199999999999,Africa,18927715
Malawi,MWI,8,567.59000000000003,Africa,19377061
Mozambique,MOZ,26.65,454.06299999999999,Africa,31178239
Eswatini,SWZ,19.74,3535.0900000000001,Africa,1180655
Angola,AGO,33.54,1709.2840000000001,Africa,33428485
Burundi,BDI,18.35,259.90600000000001,Africa,12220227
Israel,ISR,0,44850.440999999999,Asia,8757489
Lebanon,LBN,0,3588.7049999999999,Asia,5662923
Madagascar,MDG,43.9,477.375,Africa,28225177
NA,PSX,NA,NA,NA,NA
Gambia,GMB,10.46,NA,Africa,2573995
Tunisia,TUN,0.83,3573.8359999999998,Africa,12161723
Algeria,DZA,0.58,3321.6010000000001,Africa,43451666
Jordan,JOR,0.91,4336.3819999999996,Asia,10928721
United Arab Emirates,ARE,0.03,37648.963000000003,Asia,9287289
Qatar,QAT,0.43,53797.936999999998,Asia,2760385
Kuwait,KWT,0,22683.637999999999,Asia,4360444
Iraq,IRQ,0.75,4219.8739999999998,Asia,42556984
Oman,OMN,0.29,16640.425999999999,Asia,4543399
Vanuatu,VUT,7.71,3341.002,Oceania,311685
Cambodia,KHM,14.88,1643.758,Asia,16396860
Thailand,THA,0,7170.8490000000002,Asia,71475664
Laos,LAO,11.21,NA,Asia,7319399
Myanmar,MMR,14.69,1527.434,Asia,53423198
Vietnam,VNM,3.12,3548.8919999999998,Asia,96648685
North Korea,PRK,5.47,NA,Asia,25867467
South Korea,KOR,0.07,NA,Asia,51844690
Mongolia,MNG,12.36,3965.0970000000002,Asia,3294335
India,IND,4.53,1913.22,Asia,1396387127
Bangladesh,BGD,1.15,2270.348,Asia,167420951
Bhutan,BTN,0.23,3247.9259999999999,Asia,772506
Nepal,NPL,5.95,1139.192,Asia,29348627
Pakistan,PAK,6.03,1376.5119999999999,Asia,227196741
Afghanistan,AFG,23.46,611.26800000000003,Asia,38972230
Tajikistan,TJK,15.58,858.44500000000005,Asia,9543207
Kyrgyzstan,KGZ,6.4,NA,Asia,6424874
Turkmenistan,TKM,0,8776.5560000000005,Asia,6250438
Iran,IRN,0.58,2326.6640000000002,Asia,87290193
Syria,SYR,0.2,no data,Asia,20772595
Armenia,ARM,0.03,4268.5500000000002,Asia,2805608
Sweden,SWE,0.17,52706.294000000002,Europe,10368969
Belarus,BLR,0.09,6515.6540000000005,Europe,9633740
Ukraine,UKR,0.4,3780.0749999999998,Europe,43909666
Poland,POL,0.03,15792.610000000001,Europe,38428366
Austria,AUT,0,48857.082999999999,Europe,8907777
Hungary,HUN,0,16089.013999999999,Europe,9750573
Moldova,MDA,7.91,4377.5420000000004,Europe,3084847
Romania,ROU,0,13021.962,Europe,19442038
Lithuania,LTU,1.99,20323.206999999999,Europe,2820267
Latvia,LVA,0.54,18123.654999999999,Europe,1897052
Estonia,EST,0.41,23576.356,Europe,1329444
Germany,DEU,0,46735.313999999998,Europe,83328988
Bulgaria,BGR,0.99,10170.723,Europe,6979175
Greece,GRC,0,17611.847000000002,Europe,10512232
Turkey,TUR,0.96,NA,Asia,84135428
Albania,ALB,3.05,5268.2389999999996,Europe,2866849
NA,HRV,NA,NA,Europe,4096868
Switzerland,CHE,0,85872.732000000004,Europe,8638613
Luxembourg,LUX,0.12,118083.886,Europe,630399
Belgium,BEL,0,45545.133999999998,Europe,11561717
Netherlands,NLD,0,52222.364000000001,Europe,17434557
Portugal,PRT,0.09,22224.565999999999,Europe,10298192
Spain,ESP,0.07,26943.767,Europe,47363807
Ireland,IRL,2.6,85233.623000000007,Europe,4946119
New Caledonia,NCL,0.69,NA,Oceania,286403
Solomon Islands,SLB,26.9,2236.4169999999999,Oceania,691191
New Zealand,NZL,0,41308.743999999999,Oceania,5061133
Australia,AUS,0.03,53071.718000000001,Oceania,25670051
Sri Lanka,LKA,7.18,3893.8420000000001,Asia,21715079
China,CHN,4.92,NA,Asia,1424929781
NA,TWN,NA,NA,Asia,23821464
Italy,ITA,0.08,31784.787,Europe,59500579
Denmark,DNK,0,61005.841,Europe,5825641
United Kingdom,GBR,0,40347.364000000001,Europe,67059474
Iceland,ISL,0,59189.968999999997,Europe,366669
Azerbaijan,AZE,2.91,4240.8440000000001,Asia,10284951
Georgia,GEO,2.65,4263.1329999999998,Asia,3765912
Philippines,PHL,3.03,3325.8359999999998,Asia,112190977
Malaysia,MYS,2.55,10361.276,Asia,33199993
Brunei,BRN,0.1,NA,Asia,441725
Slovenia,SVN,0.5,25604.689999999999,Europe,2117641
Finland,FIN,0,49168.161999999997,Europe,5529468
Slovakia,SVK,0,NA,Europe,5456681
Czechia,CZE,0.12,NA,Europe,10530953
NA,ERI,NA,NA,Africa,3555868
Japan,JPN,0.92,40117.915999999997,Asia,125244761
Paraguay,PRY,0,4885.3959999999997,South America,6618695
Yemen,YEM,10.37,575.45799999999997,Asia,32284046
Saudi Arabia,SAU,0,20971.147000000001,Asia,35997107
NA,ATA,NA,NA,NA,NA
NA,CYN,NA,NA,NA,NA
Cyprus,CYP,0.23,28139.894,Europe,1237537
Morocco,MAR,4.33,3375.2649999999999,Africa,36688772
Egypt,EGY,0.32,3802.4380000000001,Africa,107465134
Libya,LBY,0.11,7058.6289999999999,Africa,6653942
Ethiopia,ETH,23.64,969.01400000000001,Africa,117190911
Djibouti,DJI,9.19,3219.701,Africa,1090156
NA,SOL,NA,NA,NA,NA
Uganda,UGA,16.86,910.04499999999996,Africa,44404611
Rwanda,RWA,17.26,804.18799999999999,Africa,13146362
Bosnia and Herzegovina,BIH,0.06,5800.3900000000003,Europe,3318407
North Macedonia,MKD,0.62,5986.5519999999997,Europe,2111072
Serbia,SRB,0.46,7733.8029999999999,Europe,7358005
Montenegro,MNE,0.6,7688.549,Europe,629048
NA,KOS,NA,NA,NA,NA
Trinidad and Tobago,TTO,0,15047.92,North America,1518147
NA,SDS,NA,NA,NA,NA
